ORIS,Unit ID,Facility,State,ERTAC Region,Fuel/Unit Type Bin, Maximum hourly heat input (mmbtu) , ERTAC heat rate (btu/kw-hr) , OS heat rate (btu/kw-hr) , Non-OS heat rate (btu/kw-hr) , Generation capacity (MW) , num of hours in FY where unit operated at max hourly , BY Utilization fraction , FY Utilization fraction , Base year generation (MW-hrs) , Base year heat input (mmbtu) , Future year generation (MW-hrs) , Future year heat input (mmbtu) , BY Annual SO2 (tons) , BY Average Annual SO2 Rate (lbs/mmbtu) , BY Annual NOx (tons) , BY Average Annual NOx Rate (lbs/mmbtu) , BY OS NOx (tons) , BY Average OS NOx Rate (lbs/mmbtu) , BY OS heat input (mmbtu) , BY NonOS NOx (tons) , BY Average NonOS NOx Rate (lbs/mmbtu) , FY Annual SO2 (tons) , FY Average Annual SO2 Rate (lbs/mmbtu) , FY Annual NOx (tons) , FY Average Annual NOx Rate (lbs/mmbtu) , FY OS NOx (tons) , FY Average OS NOx Rate (lbs/mmbtu) , FY OS heat input (mmbtu) , FY NonOS NOx (tons) , FY Average NonOS NOx Rate (lbs/mmbtu) ,Hierarchy Order,Longitude,Latitude,Generation Deficit Unit?, Retirement Date, New Unit?, Gasified?
3,1,Barry,AL,SRSE,boiler gas,1370,15585.40191,16176.87468,14400.65856,87.90277006,0,0.015396837,0.01278486,11856,184780.525,9844.703917,153433.6672,1.0841145,0.011734077,6.900456,0.074688131,4.591064,0.071776464,127926.725,2.309392,0.081239671,0.900201271,0.011734077,5.756763427,0.075039117,3.60798659,0.071776464,100533.9739,2.148776836,0.081239671,16,-88.0103,31.0069,N,1/1/2050,,
3,2,Barry,AL,SRSE,boiler gas,1380,15762.47184,16298.11238,14676.02982,87.54972027,0,0.01562452,0.01295489,11983,188881.7,9935.565979,156609.0789,1.1221355,0.011881887,6.9893445,0.074007641,4.6463365,0.071040203,130808.65,2.343008,0.080691749,0.930405683,0.011881887,5.820531167,0.074331976,3.66552205,0.071040203,103195.7093,2.155009117,0.080691749,15,-88.0103,31.0069,N,1/1/2050,,
3,4,Barry,AL,SRSE,coal,3530,10302.51255,10607.94082,9973.432059,342.6348653,0,0.395905916,0.239960372,1188304.25,12242519.45,720236.5967,7420246.577,5155.829213,0.84228238,2478.186513,0.404849104,1188.8815,0.363701682,6537673.925,1289.305013,0.452003479,3124.971475,0.84228238,1511.346734,0.40735755,679.125056,0.363701682,3734516.998,832.2216776,0.451591285,19,-88.0103,31.0069,N,1/1/2050,,
3,5,Barry,AL,SRSE,coal,7411.7,9502.318073,9462.890601,9561.714408,779.9886241,0,0.511729195,0.308886103,3496492.25,33224781.5,2110526.186,20054891.12,244.5974125,0.014723794,1370.506025,0.082499024,739.5075,0.074373484,19886321.38,630.998525,0.094613399,147.6420387,0.014723794,829.0932115,0.082682395,437.7250666,0.074373484,11770998.06,391.3681449,0.094488942,11,-88.0103,31.0069,N,1/1/2050,,
3,6A,Barry,AL,SRSE,combined cycle gas,3000,6899.466183,6980.573594,6839.997612,434.8162482,0,0.576389688,0.625813073,2195462.75,15147521,2383715.944,16446367.55,4.5444535,0.000600026,61.0545875,0.008061331,25.717,0.007933352,6483261.825,35.3375875,0.008157094,4.934124373,0.000600026,66.29865262,0.008062407,27.62537806,0.007934895,6963010.556,38.67327456,0.008156031,38,-88.0103,31.0069,N,1/1/2050,,
3,6B,Barry,AL,SRSE,combined cycle gas,3000,7015.712764,7028.771077,7007.60051,427.6115771,0,0.542515484,0.59053824,2032196.5,14257306.93,2212083.858,15519344.96,4.277376,0.000600026,57.771975,0.008104192,21.7604875,0.007951415,5473362.025,36.0114875,0.008199388,4.65600369,0.000600026,62.88387822,0.008103935,23.76785978,0.00795342,5976764.618,39.11601844,0.008198206,43,-88.0103,31.0069,N,1/1/2050,,
3,7A,Barry,AL,SRSE,combined cycle gas,3000,7015.41775,7043.093784,6997.205714,427.6295592,0,0.571670923,0.620391848,2141499.25,15023511.85,2324009.537,16303897.76,4.5072655,0.000600028,61.1413875,0.008139427,24.3936,0.008150153,5986046.9,36.7477875,0.008132322,4.891399335,0.000600028,66.35194711,0.008139397,26.42008453,0.008150021,6483439.868,39.93186259,0.008132383,39,-88.0103,31.0069,N,1/1/2050,,
3,7B,Barry,AL,SRSE,combined cycle gas,3000,7038.716987,7152.414884,6960.189728,426.2140395,0,0.581633584,0.631633427,2171607.5,15285330.6,2358288.661,16599326.46,4.5858175,0.000600029,61.8353875,0.008090815,25.589375,0.008065762,6345184.4,36.2460125,0.008108595,4.980035026,0.000600029,67.15328387,0.008091085,27.39211256,0.008066068,6791937.13,39.76117131,0.008108411,37,-88.0103,31.0069,N,1/1/2050,,
7,1,Gadsden,AL,SRSE,boiler gas,805,11910.15632,11921.88125,11902.90743,67.58937314,0,0.29916963,0.249818346,177133.225,2109684.4,147913.1729,1761669.011,7.864837,0.007455937,114.877192,0.108904623,41.2839945,0.102341053,806792.45,73.5931975,0.112968996,6.567446591,0.007455937,96.83726831,0.109938096,25.57220576,0.102432915,499296.6543,71.26506254,0.112906564,1,-85.9708,34.0128,N,1/1/2050,,
7,2,Gadsden,AL,SRSE,boiler gas,805,12108.20161,11993.98028,12392.17643,66.48386159,0,0.088641907,0.070352031,51624.925,625085,40972.92605,496108.4492,2.419738,0.007742109,35.760433,0.114417825,23.6286805,0.10701975,441576.075,12.1317525,0.132219754,1.920462764,0.007742109,28.86009879,0.116345927,16.72212944,0.10701975,312505.4861,12.13796935,0.132219754,7,-85.9708,34.0128,N,1/1/2050,,
8,8,Gorgas,AL,SRSE,coal,1730.7,10318.82301,9964.435188,10658.24255,167.722617,0,0.492061044,0.297857703,722960.75,7460104.025,437627.4674,4515800.382,178.8569005,0.047950243,763.9216825,0.204801885,323.1663685,0.183396404,3524238.875,440.755314,0.223968707,108.2668629,0.047950243,462.055354,0.204639406,197.4721784,0.183653614,2150485.081,264.5831756,0.22371916,13,-87.2003,33.6446,N,1/1/2050,,
8,9,Gorgas,AL,SRSE,coal,1796.6,10311.70686,9973.168635,10601.98516,174.2291577,0,0.471450756,0.285511642,719550.5,7419793.825,435761.4078,4493443.896,168.5403145,0.045429919,777.5162555,0.209578938,305.752848,0.184593088,3312722.6,471.7634075,0.229732275,102.0683951,0.045429919,470.5120796,0.209421589,186.9047859,0.184891814,2021774.594,283.6072937,0.229486439,16,-87.2003,33.6446,N,1/1/2050,,
8,10,Gorgas,AL,SRSE,coal,7615.5,10068.96824,9832.783695,10258.85251,756.3336994,0,0.674145358,0.408220118,4466538.75,44973436.83,2704655.539,27233090.73,1141.718414,0.050773012,3771.7118,0.167730646,1543.103444,0.157676948,19572974.53,2228.608357,0.175477779,691.353015,0.050773012,2284.384493,0.16776535,931.4843786,0.157830152,11803630.26,1352.900115,0.175365836,1,-87.2003,33.6446,N,1/1/2050,,
9,CTG-1,Copper Station,TX,AZNM,simple cycle gas,883.1,16808.60342,16511.22592,19063.85059,52.53857076,149,0.072411011,0.069394235,33326.29,560168.392,31937.85565,536830.7497,0.16807,0.00060007,65.53685,0.233989818,56.0798355,0.230708318,486153.564,9.4570145,0.255543781,0.161067896,0.00060007,62.73193903,0.233712167,54.43575043,0.230708318,471901.0647,8.2961886,0.255543781,14,-106.375,31.7569,N,1/1/2050,,
10,1,Greene County,AL,SRSE,boiler gas,2440,10000,,,244,11,,0.148150318,,,316662.4158,3166624.158,0,0,0,0,0,0,0,0,0,0.949830251,0.000599901,113.6445428,0.071776464,94.00543726,0.071776464,2619394.485,19.63910551,0.071776464,2,-87.7811,32.6017,N,1/1/2050,Y,Y
10,1,Greene County,AL,SRSE,coal,2492.3,8879.269135,8623.687537,9084.545446,280.6875163,0,0.240703412,0,591847,5255168.8,0,0,2207.346339,0.84006677,603.4295625,0.229651829,176.510817,0.155284129,2273391.6,426.9187455,0.286351875,0,0,0,0,0,0,0,0,0,,-87.7811,32.6017,N,1/1/2017,,Y
10,2,Greene County,AL,SRSE,boiler gas,2510,10000,,,251,11,,0.145683879,,,320323.8864,3203238.864,0,0,0,0,0,0,0,0,0,0.960812847,0.000599901,114.9585799,0.071776464,96.67477961,0.071776464,2693773.806,18.28380025,0.071776464,3,-87.7811,32.6017,N,1/1/2050,Y,Y
10,2,Greene County,AL,SRSE,coal,2510,9170.011224,9690.98305,8938.620222,273.7183127,0,0.277191444,0,664642,6094774.6,0,0,3575.834351,1.173409875,793.4663255,0.260375938,130.4377455,0.131691737,1980955.65,663.02858,0.322342129,0,0,0,0,0,0,0,0,0,,-87.7811,32.6017,N,1/1/2017,,Y
10,CT10,Greene County,AL,SRSE,simple cycle gas,1426.2,13090.59512,12922.79016,13418.88722,108.9484464,0,0.005149895,0.005329021,4915,64340.275,5085.955987,66578.19061,0.0193035,0.000600044,2.599675,0.080810192,1.6941,0.08061121,42031.375,0.905575,0.081185088,0.019974924,0.000600044,2.689985872,0.080806818,1.768802914,0.08061121,43884.78755,0.921182957,0.081185088,96,-87.7811,32.6017,N,1/1/2050,,
10,CT2,Greene County,AL,SRSE,simple cycle gas,1426.2,13447.69942,13392.58821,13567.79568,106.0553152,0,0.015609316,0.016185106,14501.75,195015.175,15036.68433,202208.8111,0.058513,0.000600087,8.0228,0.082278725,5.4360625,0.081668131,133125.675,2.5867375,0.083592128,0.060671402,0.000600087,8.31854088,0.08227674,5.645105818,0.081668131,138245.0114,2.673435062,0.083592128,70,-87.7811,32.6017,N,1/1/2050,,
10,CT3,Greene County,AL,SRSE,simple cycle gas,1426.2,13695.8447,13695.05503,13697.14584,104.1337742,0,0.027126922,0.028209663,24745.5,338910.525,25733.18923,352437.7633,0.1129805,0.000666728,11.4664625,0.067666606,7.0993375,0.067325163,210897,4.367125,0.068229119,0.117489992,0.000666728,11.92429179,0.067667504,7.370921728,0.067325163,218964.8372,4.553370064,0.068229119,56,-87.7811,32.6017,N,1/1/2050,,
10,CT4,Greene County,AL,SRSE,simple cycle gas,1426.2,13313.91414,13202.48346,13464.94228,107.1210153,0,0.026528429,0.027588998,24893.75,331433.25,25888.96675,344683.4803,0.0994345,0.000600027,14.3989,0.086888687,8.2848875,0.087614085,189122.275,6.1140125,0.08592468,0.10340975,0.000600027,14.97562084,0.086894915,8.671766635,0.087614085,197953.712,6.303854201,0.08592468,57,-87.7811,32.6017,N,1/1/2050,,
10,CT5,Greene County,AL,SRSE,simple cycle gas,1426.2,12967.79913,12849.3811,13243.67044,109.980112,0,0.020973852,0.021723669,20206.75,262037.075,20929.14314,271404.9241,0.0786195,0.000600064,8.8223125,0.067336368,6.118525,0.067360693,181664.55,2.7037875,0.067281388,0.081430154,0.000600064,9.137757896,0.067336714,6.377122529,0.067360693,189342.5449,2.760635367,0.067281388,64,-87.7811,32.6017,N,1/1/2050,,
10,CT6,Greene County,AL,SRSE,simple cycle gas,1426.2,13309.87252,13212.41609,13517.87719,107.1535432,0,0.030940483,0.032112794,29042.75,386555.3,30143.15691,401201.5757,0.115974,0.000600038,13.632425,0.070532858,9.31085,0.071265963,261298.65,4.321575,0.069003522,0.120368163,0.000600038,14.15053213,0.070540761,9.713566795,0.071265963,272600.449,4.436965338,0.069003522,49,-87.7811,32.6017,N,1/1/2050,,
10,CT7,Greene County,AL,SRSE,simple cycle gas,1426.2,13341.87459,13180.76657,13691.60751,106.8965227,0,0.014070973,0.014620508,13176.25,175795.875,13690.84205,182661.4976,0.052747,0.000600094,7.0852875,0.08060812,4.7316,0.079589303,118900.4,2.3536875,0.082737248,0.054807009,0.000600094,7.359945299,0.080585623,4.968338408,0.079589303,124849.4006,2.391606891,0.082737248,72,-87.7811,32.6017,N,1/1/2050,,
10,CT8,Greene County,AL,SRSE,simple cycle gas,1426.2,12890.84745,12852.71559,13189.33682,110.6366362,0,0.014799155,0.01532749,14343,184893.425,14855.04981,191494.181,0.0554725,0.000600048,6.7049625,0.072527863,5.9261125,0.072506615,163464.05,0.77885,0.072689941,0.057452886,0.000600048,6.944299349,0.072527523,6.15053623,0.072506615,169654.4846,0.793763119,0.072689941,71,-87.7811,32.6017,N,1/1/2050,,
10,CT9,Greene County,AL,SRSE,simple cycle gas,1426.2,11000,13184.1817,13700.3287,129.6545455,0,0.020858094,0.017990282,19688,260590.85,20432.89092,224761.8001,0.078186,0.000600067,9.3891375,0.072060377,8.311475,0.071190837,233498.45,1.0776625,0.079554598,0.067436083,0.000600067,8.095345115,0.072034884,7.193103091,0.071190837,202079.4651,0.902242023,0.079554598,65,-87.7811,32.6017,N,1/1/2050,,
