DateTime,o3,so2,co,no,no2,nox,pm25,t,rh,ws,wd
20170101 00:00,0.03,0.6,0.185,0.1,3,3.1,5.63,7.5,41,7,238.3
20170101 01:00,0.029,0.6,0.205,0.1,3.5,3.7,5.93,7.2,43,5.6,235.8
20170101 02:00,0.026,0.6,0.227,0.1,5.6,5.7,6.59,6.5,44,3.4,237.2
20170101 03:00,0.023,0.6,0.255,0.1,7.7,7.8,7.71,5.9,44,2.5,262
20170101 04:00,0.021,0.7,0.269,0.2,9.4,9.6,8.83,5.9,44,3.2,272.7
20170101 05:00,0.021,0.7,0.254,0.2,8.9,9.1,9.64,6.2,43,5.5,274.6
20170101 06:00,0.016,0.7,0.271,7.7,12.4,20.1,9.67,5.2,47,4.1,276.4
20170101 07:00,0.011,0.7,0.312,9,19.1,28.2,11.87,4.4,50,2.2,266.2
20170101 08:00,0.013,0.8,0.309,4.8,16,20.9,12.34,4.7,49,3.1,274.6
20170101 09:00,0.018,0.9,0.29,4.6,11.7,16.3,11.37,6.2,47,4.5,270.5
20170101 10:00,0.024,0.8,0.235,3.4,7.4,10.8,8.96,8.3,45,5.4,275.2
20170101 11:00,0.03,0.7,0.2,1.4,3.2,4.6,8.72,9.7,44,9.2,312.5
20170101 12:00,0.031,0.9,0.199,1.5,3.4,4.9,9.54,9.6,43,9.2,313.1
20170101 13:00,0.031,0.7,0.203,1.6,3.3,4.9,11.3,9.8,42,7,307.9
20170101 14:00,0.031,0.6,0.205,1.5,3.5,5.1,12.24,10,40,6.6,313.7
20170101 15:00,0.032,0.7,0.198,0.9,3.8,4.8,10.53,10.1,38,6,305.2
20170101 16:00,0.026,0.7,0.254,1.5,8.9,10.5,11.51,9.7,40,4.4,314.4
20170101 17:00,0.009,0.9,0.505,11.8,25.5,37.4,15.75,8.7,43,2.5,356.5
20170101 18:00,0.015,1,0.368,6.5,18.8,25.4,15.32,8.3,43,2.6,24.1
20170101 19:00,0.01,1,0.525,12.1,22.4,34.5,18.84,7.2,46,2.9,316.4
20170101 20:00,0.006,1,0.592,14.2,25.7,39.9,22.3,6,51,1.3,228.8
20170101 21:00,0.001,1.5,0.966,54.5,31.8,86.4,28.67,4.5,59,1.2,27.5
20170101 22:00,0.001,1.8,0.902,63.4,28.9,92.4,31.58,4.2,60,1,323.4
20170101 23:00,0.008,1.7,0.598,26.3,23.8,50.1,21.55,5.4,50,2.5,69.2
20170102 00:00,0.017,1.3,0.293,1,16.2,17.3,15.96,5.5,45,5.3,85
20170102 01:00,0.018,1.1,0.282,0.7,15.5,16.3,13.18,5.2,45,5.2,80.8
20170102 02:00,0.021,1.1,0.262,0.5,12.7,13.3,11.58,5.4,46,5.7,83.5
20170102 03:00,0.017,0.9,0.234,0.4,16.2,16.6,10.31,5.3,52,4.7,90.6
20170102 04:00,0.018,0.7,0.235,0.9,15.3,16.3,10.88,5,65,4.1,75.4
20170102 05:00,0.012,0.6,0.277,2.3,20.3,22.6,12.61,4.5,74,4.6,56.1
20170102 06:00,0.013,0.6,0.27,2.3,19.7,22,12.49,4.6,79,4.9,75
20170102 07:00,0.008,0.6,0.299,3,23.6,26.7,14.06,4.2,82,6.6,88
20170102 08:00,0.013,0.6,0.294,2.7,18.5,21.2,11.54,4.2,82,6,85.8
20170102 09:00,0.012,0.6,0.292,4.5,21,25.5,9.75,4.5,81,6.6,85.5
20170102 10:00,0.015,0.6,0.31,4.2,17.1,21.4,9.31,4.4,86,6,86.5
20170102 11:00,0.018,0.6,0.279,3.6,13.8,17.5,8.18,4.8,87,5.4,75.3
20170102 12:00,0.019,0.6,0.264,3.3,13.3,16.6,6.31,5.5,86,5.3,74.2
20170102 13:00,0.016,0.7,0.274,4.5,17,21.6,6.65,6.2,86,5.7,59
20170102 14:00,0.019,0.7,0.274,3,15.1,18.1,5.54,6.4,85,6.8,72.3
