"","Pollutant","Year","Sector","Tons per Year"
"1","VOC",2002,"Point",4755
"2","VOC",2002,"Area",15529
"3","VOC",2002,"On-road",10564
"4","VOC",2002,"Off-road",7378
"5","VOC",2002,"Natural",26580
"6","NOx",2002,"Point",16345
"7","NOx",2002,"Area",2622
"8","NOx",2002,"On-road",21341
"9","NOx",2002,"Off-road",16299
"10","NOx",2002,"Natural",764
"11","CO",2002,"Point",9766
"12","CO",2002,"Area",14850
"13","CO",2002,"On-road",160760
"14","CO",2002,"Off-road",68772
"15","CO",2002,"Natural",2794
"16","SO2",2002,"Point",73744
"17","SO2",2002,"Area",1590
"18","SO2",2002,"On-road",584
"19","SO2",2002,"Off-road",4004
"20","SO2",2002,"Natural",0
"21","PM10-PRI",2002,"Point",4213
"22","PM10-PRI",2002,"Area",13144
"23","PM10-PRI",2002,"On-road",581
"24","PM10-PRI",2002,"Off-road",1101
"25","PM10-PRI",2002,"Natural",49865
"26","PM2.5-PRI",2002,"Point",3664
"27","PM2.5-PRI",2002,"Area",3872
"28","PM2.5-PRI",2002,"On-road",415
"29","PM2.5-PRI",2002,"Off-road",999
"30","PM2.5-PRI",2002,"Natural",11055
"31","NH3",2002,"Point",195
"32","NH3",2002,"Area",13285
"33","NH3",2002,"On-road",903
"34","NH3",2002,"Off-road",5
"35","NH3",2002,"Natural",0
"36","VOC",2005,"Point",4358
"37","VOC",2005,"Area",8738
"38","VOC",2005,"On-road",8358
"39","VOC",2005,"Off-road",9169
"40","VOC",2005,"Natural",19926
"41","NOx",2005,"Point",17396
"42","NOx",2005,"Area",2315
"43","NOx",2005,"On-road",13903
"44","NOx",2005,"Off-road",11624
"45","NOx",2005,"Natural",815
"46","CO",2005,"Point",9313
"47","CO",2005,"Area",8157
"48","CO",2005,"On-road",140583
"49","CO",2005,"Off-road",74126
"50","CO",2005,"Natural",3039
"51","SO2",2005,"Point",66431
"52","SO2",2005,"Area",1034
"53","SO2",2005,"On-road",285
"54","SO2",2005,"Off-road",2753
"55","SO2",2005,"Natural",0
"56","PM10-PRI",2005,"Point",4155
"57","PM10-PRI",2005,"Area",15713
"58","PM10-PRI",2005,"On-road",366
"59","PM10-PRI",2005,"Off-road",896
"60","PM10-PRI",2005,"Natural",12163
"61","PM2.5-PRI",2005,"Point",3474
"62","PM2.5-PRI",2005,"Area",2607
"63","PM2.5-PRI",2005,"On-road",219
"64","PM2.5-PRI",2005,"Off-road",822
"65","PM2.5-PRI",2005,"Natural",1747
"66","NH3",2005,"Point",205
"67","NH3",2005,"Area",12534
"68","NH3",2005,"On-road",958
"69","NH3",2005,"Off-road",5
"70","NH3",2005,"Natural",0
"71","VOC",2008,"Point",3336.456783
